status	key	command
Composition	ASCII	InsertCharacter
Precomposition	ASCII	InsertCharacter
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	Ctrl Backspace	Backspace
Conversion	Ctrl Backspace	Cancel
Precomposition	Ctrl Backspace	Undo
Prediction	Ctrl Delete	DeleteSelectedCandidate
Conversion	Ctrl Down	CommitOnlyFirstSegment
Composition	Ctrl Down	MoveCursorToEnd
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Precomposition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Up	ConvertPrev
Composition	Ctrl Up	MoveCursorToBeginning
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl d	MoveCursorRight
Conversion	Ctrl d	SegmentFocusRight
Conversion	Ctrl e	ConvertPrev
Composition	Ctrl e	MoveCursorToBeginning
Composition	Ctrl f	MoveCursorToEnd
Conversion	Ctrl f	SegmentFocusLast
Conversion	Ctrl g	Cancel
Composition	Ctrl g	Delete
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Composition	Ctrl n	MoveCursorToEnd
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl s	MoveCursorLeft
Conversion	Ctrl s	SegmentFocusLeft
Composition	Ctrl t	ConvertToHalfAlphanumeric
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Conversion	Ctrl x	ConvertNext
Composition	Ctrl x	MoveCursorToEnd
Composition	Ctrl z	Cancel
Conversion	Ctrl z	Cancel
Conversion	Delete	Cancel
Composition	Delete	Delete
Conversion	Down	ConvertNext
Composition	Down	MoveCursorToEnd
Suggestion	Down	PredictAndConvert
Composition	ESC	Cancel
Conversion	ESC	Cancel
DirectInput	Eisu	IMEOn
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
Composition	End	MoveCursorToEnd
Conversion	End	SegmentFocusLast
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
DirectInput	F13	IMEOn
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Hankaku/Zenkaku	IMEOff
Conversion	Hankaku/Zenkaku	IMEOff
Precomposition	Hankaku/Zenkaku	IMEOff
DirectInput	Hankaku/Zenkaku	IMEOn
Composition	Henkan	Convert
Conversion	Henkan	ConvertNext
DirectInput	Henkan	Reconvert
Precomposition	Henkan	Reconvert
DirectInput	Hiragana	IMEOn
